   ,                   32,                  64,                128,                256,                512
 32,0.0060754895210266115,0.011554419994354248,0.02317289113998413,0.04714936017990112,0.09493483304977417
 64, 0.012263572216033936,0.023717713356018067, 0.0455876350402832, 0.0864709496498108,0.19101076126098632
128,  0.02305377721786499, 0.04762567281723022,0.09501845836639404,0.18727999925613403, 0.3920856714248657
256, 0.052164459228515626, 0.10017910003662109, 0.2020035982131958,0.42058595418930056, 0.7895131468772888
512,  0.11073367595672608,  0.2040569305419922, 0.4072232723236084, 0.8109456896781921,  1.589726996421814
